Numero,CUFE/CUDE
FPLS472,d00ebbac73238de3a46562e2468438193384dd81743d1cc1ca163cbb9af631d883355c4453158a00afc6d81d12a0fc38
FPLS473,63a3789cab047b8a619e3db4201bf8ff6bb2c4cbd65475c3133d497c1c4d747de6bddf98e076d5c916bffe24144e54c4
FPLS469,1257448c801ac8b1a84a462ea9c033884880739021076ea4d105f254ef743110ea3df581659ca5de412bec7db337ddf6
FPLS470,cb109b16bfaa367476ceccbd0a83e9fed0f1161dafc09c780ad8a0bed6843022a0da66106fec52bcc8772c01716c7f51
FPSE341,2ba31cbfdc65fbf8f78815341e1b298a96ab4f59959813c56665693cf9a426e4278f4f8d4d4ae2622523b6fb3475ec73
FPSE342,1968e06773f58b8d0d38bb0497c8f032765cc7eec52ab694c55a73ed80b9dc6965367cac6a4a0b7c4313b8f7fb3d6002
FPLS462,58369a8fbaadbc0f3ef7db046f821b4b37b710a32fcf93963fc26f2542420082c2e99082db32bafb204cd871ea93e590
FPLS467,44cfb0c539e83cbd3ed698fb689cfe648ab14d71aa4da95e7651b30578dfe7442982285d33a69a5ef52aa104f520fbd7
FPLS466,807c3a2fa8ba392e8f2bfe8d0f1c75653f237717711da3087ae7508fcf54e3ee82c4896cedfa0f7a61fa5003b11f01d2
FPLS465,487b7ad8fb3a14555cfc937cb7d4ac18b894c01310351d5031b70982c3182977710a2f1b6956ead8deb63a59e6d6f210
FPLS464,0cb8e5cc71c4363b93fc1deb04f48d1839f3e06e3f3eb4ab5f0c710d3896cdea875c1b88d080d44a817279028edcfa2b
FPLS463,8f6b8b61e2df2774abcc42ae4a4df1ba2ea2854b39afb3a00846f4e5018dd622edb42cd5920610c65c8fb12f57fea744
FPLS461,c9f4072dc17e0bd185b19b8081ab60c7ac0e974629fe1548829339006282a7a71272afc38de12ae90c3ee97a599d75cb
FPLS460,d0f6e3177f1e3ba8864f86fe877fef5422a9b1bf27949220dae49d6c16bbc2b6debe4e3453929ea7691e46e99410d1cb
FPLS459,db7a7ebff9bd323a92c36581a93043a7ee36037bee75ee71fda8f178d72bfa095d6c4876d8ca73fb888cad0d79ef2276
FPLS458,f41101023116ddcb65d162d2b98d0b23502052b1de72abf0274cd0667708d7c1b2d0ea6d0ec00c7b8a66c1bdd33793ac
FPLS457,032f3c4c5ff518566b1862b4b76f0f40f3f9cd6ba229bf0e29d48b03d0850a97fbfc5fbfc5e14b83e08e4607718a2e3d
FPLS456,e66ebca8ab73ffff2a6fd3f2af1258da6cacf17164a93af8558b412777e4ef17c55389340bde68403dc4c8e47bd6d325
FPLS455,9c2954bd186068d6f8f298ffb083255f7d1b76b7046f216d2ac3444ad5536d868da9ff5d002673526c4700ff03504564
FPLS453,5d531c980c3918bee3ca5655eec6ada40de65a7ec6f766e9d5022a56b4a42d23ddac35cdae202537eebc58b642a88da3
FPLS452,cb9c0c37d998e30a67b3ed3247b81cd09529eacca03de4a965c42932930d0048c05f195e12574158a0bbfeebe0787ad4
FPLS451,63ea8265e71125fc821ea7775e7d3fd31ef2ce3277f4e9b27908a58db6dfe28ac99dfa9965597e23b5e2d0f595043992
FPLS450,caa2772e10b93db73e07f38593199356f67ad16a36438feefed9d82b8cdca158cda65efccbfb00b156124a6fdc6c43df
FPLS449,1a46d9200941dbbf320330a15f45e9c12db6ae70e8a30e7db93bba0fd0cfe68c999f3077ff9e60894c8b1ac3d74dcff3
FPLS448,8ecb00b91e265f945f6444319c7950fdaed136138e6f6106d6cb738c8256d694baeb444f12b32ea95f89c72afa5c63b3
FPLS447,8def5d081e79e73dd971d60d51f64f7dadd4f8df474577783d53dc096bdc254a683971c8b095b7a42c0174b661627091
FPLS446,1536efb01483f3551b26cb0c42970c1c7c527a2346618eec8a8d6967b789b5b5ec7cea8d08db502428a0d01b857d77bd
FPLS445,97cfa1ce3728dcfdaa52b6e25c87fb21bf17b507a5decf518d9a4c1c88b2ce03eb34b3c5c697daf8c547708ab71dded4
FPLS444,001c5fa1bd911a9709af5ff4a61a4ef1be494b70435363fd42abcac2a5e1a4bfb8c332b2cc273362c98644bc683cefe7
FPLS443,c612fe340b67ecff8fd6cc9f286d14df2ca0fb31fb1b5b4073b99e20158164d80ebb49d6af7057aba9769e14c7d61939
FPLS442,f454a70defe789f75b1b9a0cd1902b5deb67ddf5058ac28a541a7f88bb5a60f90a124424fc117d69a5e7fbfb762b78c0
FPLS441,29473dafefd0482591e937d4b0cedaaa918299da3bc74035a1972e88b5d921504c9cf171c039a1f12b83bdbeb7c6d50e
FPLS440,2da311cd73af7b814bc85baf8370a050dfcfc1caaba417977f68b8f48dec0820ab78b2db09521eb45b596a4a019cc0a3
FPLS438,5436b7c9552d753a362473afde03b2659f36f8ba1deaed67fd9a5363178f9185c1aecf4e7d87ac2909d91b454063cabf
FPLS437,a75bd7d36a277290b07a8c470640fb6441f5727a8dc633099f3442b17eed7956b3d875ac0e505875c2872a3331763465
FPLS436,f10c24e33e499a6e3a8b443e3e371aad7468909800df094844277e5c12c74d1e3989f69c32f052b85f4a9f5206a9f9d1
FPLS435,4cd7908bf76c11c24cc02444193e56f971a6baa42559fbcfd5239ce3a327e1b439a2a1b10007b82219ebb85fabe89332
FPLS434,2b2b2e79972a1d11931038389f5853b417dc6808e35a1240a2901fe15a7313f31b8c535759de8bdc36b2b385791d16a5
FPLS420,3ca7e1f115099ef3b3c0b7a77af17e5b9e7853b95e5ce628e94d0e593ff6c2f9819b6054e60ff8d2596cdb7579170a7f
FPLS419,0a3d775a444785e927099537a621a499a23e6ed7105e583d6aa57c521951380e94625137ec61a75306f9e8eefcd95776
FPLS433,7d80c056b019aaba7ec72919070fc0289d6abb566d4d6a0d1cf3708020fc57d5bc0a03d3bd3962ea63b932cc190b5a1d
FPLS432,b726483ed25a7ac9ff0b90a47d0d425b363a703a9a90e6660e56c5cd76d765c7366baad18ffa2a08b8ce20b6e31b4e9f
FPLS431,9ecb0b772348d63e0ea61488c26f48b4383f4bb9d3661a1931bdccf3b4165eac3d5c9598c48e5364b2a09d552b2afc1a
FPLS430,c8f3b9b12ed72379e4d2bdbe193d512e381676c4d6f97d59fdc4fa6f3370d6752d9ca300efd2d6cc659646ebff883471
